From	Entry
HLA-DPA1	A0A4P2STD9
HLA-DPA1	A0A4P2STU2
HLA-DPA1	A0A4P2SV01
HLA-DPA1	A0A4P8DKR4
HLA-DPA1	A0A4P8DL26
HLA-DPA1	A0A4P8DLC9
HLA-DPA1	A0A4P8JBH1
HLA-DPA1	A0A4P8JBL0
HLA-DPA1	A0A4V0NPC5
HLA-DPA1	A0A4Y5R8K1
HLA-DPA1	A0A4Y5RXA2
HLA-DPA1	A0A4Y6GS51
HLA-DPA1	A0A516UVP7
HLA-DPA1	A0A5A4LHS6
HLA-DPA1	A0A5A4LI15
HLA-DPA1	A0A5A4LIZ2
HLA-DPA1	A0A5A4LJY2
HLA-DPA1	A0A5A4LL11
HLA-DPA1	A0A5A4LUX5
HLA-DPA1	A0A5B9R1K9
HLA-DPA1	A0A5B9R3V4
HLA-DPA1	A0A5H2UEC6
HLA-DPA1	A0A5H2UED3
HLA-DPA1	A0A5H2UF05
HLA-DPA1	A0A5H2UF15
HLA-DPA1	A0A5H2UHE7
HLA-DPA1	A0A5H2UHF9
HLA-DPA1	A0A5H2UHZ4
HLA-DPA1	A0A5H2UI04
HLA-DPA1	A0A5H2USX7
HLA-DPA1	A0A5H2USY3
HLA-DPA1	A0A5H2UU33
HLA-DPA1	A0A5H2UU41
HLA-DPA1	A0A5H2UUP6
HLA-DPA1	A0A5H2UUQ5
HLA-DPA1	A0A5H2UYC3
HLA-DPA1	A0A5H2UYD1
HLA-DPA1	A0A5H2UYP4
HLA-DPA1	A0A5H2UYQ0
HLA-DPA1	A0A5H2V0V0
HLA-DPA1	A0A5H2V0V4
HLA-DPA1	A0A5J6V0Z8
HLA-DPA1	A0A5J6V154
HLA-DPA1	A0A5J6V1V8
HLA-DPA1	A0A5J6V209
HLA-DPA1	A0A5P8I422
HLA-DPA1	A0A5P8TXE8
HLA-DPA1	A0A5P8TXJ6
HLA-DPA1	A0A5P8TXN6
HLA-DPA1	A0A5P8TY43
HLA-DPA1	A0A649ZUX1
HLA-DPA1	A0A678ZGB1
HLA-DPA1	A0A678ZGE3
HLA-DPA1	A0A678ZGF0
HLA-DPA1	A0A678ZGL1
HLA-DPA1	A0A678ZHZ5
HLA-DPA1	A0A678ZI04
HLA-DPA1	A0A678ZKG5
HLA-DPA1	A0A678ZLR6
HLA-DPA1	A0A678ZVI0
HLA-DPA1	A0A678ZW68
HLA-DPA1	A0A678ZWG8
HLA-DPA1	A0A678ZWH5
HLA-DPA1	A0A678ZZ32
HLA-DPA1	A0A6B7G179
HLA-DPA1	A0A6B7G1D9
HLA-DPA1	A0A6B7G1R0
HLA-DPA1	A0A6B7G262
HLA-DPA1	A0A6B7G282
HLA-DPA1	A0A6B7G308
HLA-DPA1	A0A6B7G4B4
HLA-DPA1	A0A6B7G4V6
HLA-DPA1	A0A6B7HFH3
HLA-DPA1	A0A6B7HFR6
HLA-DPA1	A0A6B7HG46
HLA-DPA1	A0A6B7HG47
HLA-DPA1	A0A6B7HG51
HLA-DPA1	A0A6B7HG59
HLA-DPA1	A0A6B7HG96
HLA-DPA1	A0A6B7HGB5
HLA-DPA1	A0A6B7HGC0
HLA-DPA1	A0A6B7HGD0
HLA-DPA1	A0A6B7HHJ1
HLA-DPA1	A0A6B7HHL0
HLA-DPA1	A0A6B7IAL5
HLA-DPA1	A0A6B7IAL9
HLA-DPA1	A0A6B7IBD4
HLA-DPA1	A0A6B7IBD8
HLA-DPA1	A0A6B7IC79
HLA-DPA1	A0A6B7ICQ7
HLA-DPA1	A0A6B7ICS0
HLA-DPA1	A0A6B7IDJ6
HLA-DPA1	A0A6B7IDL4
HLA-DPA1	A0A6B7IDQ7
HLA-DPA1	A0A6B7KVE4
HLA-DPA1	A0A6B7KVI2
HLA-DPA1	A0A6B7KXP6
HLA-DPA1	A0A6B9RYR6
HLA-DPA1	A0A6B9RYU0
HLA-DPA1	A0A6B9XJ98
HLA-DPA1	A0A6C0VBK0
HLA-DPA1	A0A6C0X4T0
HLA-DPA1	A0A6G8IQI7
HLA-DPA1	A0A6G8IQR3
HLA-DPA1	A0A6G8IQR5
HLA-DPA1	A0A6G8IQS1
HLA-DPA1	A0A6G8IRB1
HLA-DPA1	A0A6H1PR27
HLA-DPA1	A0A6M6CDL2
HLA-DPA1	A0A6M6CDS5
HLA-DPA1	A0A6M6CE24
HLA-DPA1	A0A6M6CE93
HLA-DPA1	A0A6M6CG77
HLA-DPA1	A0A6M8DJH8
HLA-DPA1	A0A7D5G264
HLA-DPA1	A0A7L4X6P9
HLA-DPA1	A0A7L4X722
HLA-DPA1	A0A7L7TM95
HLA-DPA1	A0A7L7TMD7
HLA-DPA1	A0A7L7TNE1
HLA-DPA1	A0A7L7TQK4
HLA-DPA1	A0A7L7TUJ7
HLA-DPA1	A0A7S6TDL2
HLA-DPA1	A0A7S9YVJ3
HLA-DPA1	A0A7T5V8X6
HLA-DPA1	A0A7T7GVM5
HLA-DPA1	A0A7T8GDD9
HLA-DPA1	A0A7T8GDW8
HLA-DPA1	A0A7T8GE44
HLA-DPA1	A0A7T8GE61
HLA-DPA1	A0A7T8GEA3
HLA-DPA1	A0A7T8GEA5
HLA-DPA1	A0A7T8GED1
HLA-DPA1	A0A7T8GED4
HLA-DPA1	A0A7T8GEJ4
HLA-DPA1	A0A7T8JP05
HLA-DPA1	A0A7T8JP82
HLA-DPA1	A0A7T8JPL9
HLA-DPA1	A0A7T8JPT0
HLA-DPA1	A0A7T8JQ81
HLA-DPA1	A0A7U3TZB1
HLA-DPA1	A0A858B6K6
HLA-DPA1	A0A858LJD1
HLA-DPA1	A0A895HRT0
HLA-DPA1	A0A8E4J4D2
HLA-DPA1	A0A8E4J4D7
HLA-DPA1	A0A8E4J4F3
HLA-DPA1	A0A8E4J5N4
HLA-DPA1	A0A8E4J6Q0
HLA-DPA1	A0A8E4J7S9
HLA-DPA1	A0A8E4NFD7
HLA-DPA1	A0A8E4NFZ0
HLA-DPA1	A0A8E4NFZ6
HLA-DPA1	A0A8E4NGP8
HLA-DPA1	A0A8E6Z9V6
HLA-DPA1	A0A8F2TDF0
HLA-DPA1	A0A8F4JCE7
HLA-DPA1	A0A8F5FTR8
HLA-DPA1	A0A8F5FVW2
HLA-DPA1	A0A8F5ISY2
HLA-DPA1	A0A8F5IUS6
HLA-DPA1	A0A8F7CGG0
HLA-DPA1	A0A8F7CGH5
HLA-DPA1	A0A8F7CGI1
HLA-DPA1	A0A8F7CI98
HLA-DPA1	D9YLZ6
HLA-DPA1	F6V115
HLA-DPA1	G3GJV6
HLA-DPA1	H0Y6F8
HLA-DPA1	H9BIJ2
HLA-DPA1	I2G9G1
HLA-DPA1	J3KQ99
HLA-DPA1	J9UEA6
HLA-DPA1	K4PDP4
HLA-DPA1	N0A0E5
HLA-DPA1	O78000
HLA-DPA1	O98050
HLA-DPA1	Q29ZM9
HLA-DPA1	Q29ZN0
HLA-DPA1	Q29ZN1
HLA-DPA1	Q29ZN2
HLA-DPA1	Q29ZN3
HLA-DPA1	Q29ZN4
HLA-DPA1	Q49U27
HLA-DPA1	Q49U29
HLA-DPA1	Q49U31
HLA-DPA1	Q49U33
HLA-DPA1	Q49U35
HLA-DPA1	Q49U37
HLA-DPA1	Q49U39
HLA-DPA1	Q49U41
HLA-DPA1	Q49U43
HLA-DPA1	Q49U45
HLA-DPA1	Q49U47
HLA-DPA1	Q49U49
HLA-DPA1	Q49U51
HLA-DPA1	Q49U53
HLA-DPA1	Q49U55
HLA-DPA1	Q49U57
HLA-DPA1	Q49U59
HLA-DPA1	Q49U61
HLA-DPA1	Q49U63
HLA-DPA1	Q49U65
HLA-DPA1	Q49U67
HLA-DPA1	Q49U69
HLA-DPA1	Q49U71
HLA-DPA1	Q5EY04
HLA-DPA1	Q67AL9
HLA-DPA1	Q67AM0
HLA-DPA1	Q67AM1
HLA-DPA1	Q67AM2
HLA-DPA1	Q67AM3
HLA-DPA1	Q67AM4
HLA-DPA1	Q67AM5
HLA-DPA1	Q67AM6
HLA-DPA1	Q67AM7
HLA-DPA1	Q67AM8
HLA-DPA1	Q67AM9
HLA-DPA1	Q67AN0
HLA-DPA1	Q67AN1
HLA-DPA1	Q67AN2
HLA-DPA1	Q67AR8
HLA-DPA1	Q67AS2
HLA-DPA1	Q67AS8
HLA-DPA1	Q67AS9
HLA-DPA1	Q67AT4
HLA-DPA1	Q67AT8
HLA-DPA1	Q67AT9
HLA-DPA1	Q67AU0
HLA-DPA1	Q67AU1
HLA-DPA1	Q67AU2
HLA-DPA1	Q67AU3
HLA-DPA1	Q67AU4
HLA-DPA1	Q67AU5
HLA-DPA1	Q67AU6
HLA-DPA1	Q67AU7
HLA-DPA1	Q67AU8
HLA-DPA1	Q67AU9
HLA-DPA1	Q95HB9
HLA-DPA1	Q9TPP2
HLA-DPA1	Q9TQA9
HLA-DPA1	Q9TQB0
HLA-DPA1	Q9XS09
HLA-DPA1	V5N4B3
HLA-DPA1	X5CKE2
HLA-DPA1	X5CMJ1
SEMA5B	Q9P283
SEMA5B	A0A3B3IRP9
SEMA5B	A0A3B3IT43
SEMA5B	B5ME80
SEMA5B	C9JKR3
SEMA5B	C9JTV9
SEMA5B	C9JTX2
SEMA5B	F8WAT5
SEMA5B	H0Y5U2
MYBPHL	A2RUH7
KIF18B	Q86Y91
KIF18B	A0A494BYR6
KIF18B	Q6NWY8
NYNRIN	Q9P2P1
TRIM38	O00635
TRIM38	A0A024QZY4
IARS	P41252
IARS	Q6P0M4
IARS	Q7L4K8
KIAA0355	O15063
KIAA0355	A1A512
CTAGE5	Q96PC5
CTAGE5	Q05BM1
CTAGE5	Q4G155
C2CD4B	A6NLJ0
KRT16	P08779
KRT16	K7ENV3
KRT16	K7ENW6
KRT14	P02533
KRT14	A0A024R1X6
KRT23	Q9C075
KRT23	A0A024R1X9
KRT23	J3QR55
KRT23	K7EPI0
KRT23	Q8TC04
KRT23	Q9UFN7
KRT75	O95678
FAM129A	Q9BZQ8
RP1	P49842
RP1	P56715
RP1	Q15555
RP1	A0A1B0GTV9
RP1	A0A1B0GUH0
RP1	A0FDN2
RP1	Q6DKV0
KLHL38	Q2WGJ6
FAM109A	Q8N4B1
FAM109A	G3V0F1
CD200R1	Q8TD46
CD200R1	B7ZKV2
CD200R1	H9KV32
HIST1H1C	P16403
DNTT	P04053
DNTT	Q14182
SLC25A42	Q86VD7
CNK3/IPCEF1	G9CGD6
TMEM88	Q6PEY1
TMEM88	I3L2J3
CXorf67	Q86X51
C12orf45	Q8N5I9
ELMSAN1	Q6PJG2
WDR97	A6NE52
WDR97	E9PKB8
SSFA2	P28290
C7orf57	Q8NEG2
C7orf57	C9JQZ6
C7orf57	F5H7J8
C7orf57	J3KQX6
C7orf57	Q86XB5
CCDC168	Q8NDH2
SPTBN5	Q9NRC6
ARHGAP12	Q8IWW6
ARHGAP12	A0A2X0TVR3
ARHGAP12	D3DRX4
ARHGAP12	H0Y5D8
ARHGAP12	Q1RLN5
ARHGAP12	Q9NV28
CCDC39	Q9UFE4
CCDC39	A0A494C1Q3
CCDC39	H7C4X6
CCDC39	H7C5I6
PAPD4	Q6PIY7
SLC4A7	Q9Y6M7
SLC4A7	A0A0A0MST8
SLC4A7	B5M450
SLC4A7	C9JRP1
SLC4A7	E9PFN4
SLC4A7	H7C3C4
CSKMT	A8MUP2
HDC	P19113
HDC	Q9UBI9
HDC	H0YLF0
FAM207A	Q9NSI2
C7orf26	Q96N11
LPIN1	Q14693
LPIN1	A0A0A0MS66
LPIN1	C9IYP2
LPIN1	C9J278
LPIN1	H7C3T1
VWA3B	Q502W6
VWA3B	F8W737
VWA3B	F8WBX4
VWA3B	F8WD48
VWA3B	F8WD56
VWA3B	H0YCW7
VWA3B	H0YDS6
VWA3B	H0YEM4
VWA3B	H0YF54
CLNK	Q7Z7G1
CLNK	D6RJB9
FAM186A	A6NE01
FAM186A	B9EIJ5
FAM186A	F5GYN0
FAM186A	F5H8C1
FAM186A	H0YFA1
CHST13	Q8NET6
CHST13	Q3ZCR4
CHST13	Q3ZCU8
FAM208A	Q9UK61
AP1B1	Q10567
AP1B1	C9J1E7
AP1B1	H7C034
CNGA3	Q16281
CNGA3	A0A097I4X7
CNGA3	L8E7M2
CFAP44	Q96MT7
CFAP44	A0A1D5RMR1
CFAP44	C9K0A4
CFAP44	F8WEX0
CFAP44	H0Y883
CFAP44	H0Y896
CFAP44	H7C512
CFAP44	H7C591
ZGLP1	P0C6A0
ZGLP1	B5MCP8
ST5	P78524
CCDC144A	A2RUR9
CCDC144A	A0A8V8TL21
CCDC144A	A6NG92
CCDC144A	A6NJB5
CCDC144A	B7ZM27
CCDC144A	C9JAY6
CCDC144A	C9JT67
KRT13	P13646
KRT13	A1A4E9
KRT13	K7EMD9
KRT13	K7EMJ2
KRT13	K7EQH6
KRT13	K7ERE3
SPRYD3	Q8NCJ5
SPRYD3	A0A024RAX4
SPRYD3	B7Z1Y3
SPRYD3	F8VWW7
SPRYD3	H0YI85
SPRYD3	L8EBB5
CNTN2	Q02246
CNTN2	A0A1B0GTL7
CNTN2	A0A1W2PPQ9
CNTN2	A0A1W2PPY1
CNTN2	A0A1W2PQ11
CNTN2	A0A1W2PQ86
CNTN2	A0A1W2PQJ4
CNTN2	A0A1W2PR60
CNTN2	A1L3A3
CNTN2	A1ML24
CNTN2	L8ECB9
DNAAF4	Q8WXU2
DNAAF4	B4DY92
DNAAF4	E5RJ13
NUPL2	O15504
NUPL2	Q3B7J4
OXA1L	Q15070
OXA1L	A0A087X0L7
OXA1L	C9JC63
OXA1L	E7EVY0
OXA1L	H7BZE6
OXA1L	J3KNA0
OXA1L	Q2M1J6
ZNF843	Q8N446
ZNF843	H3BQN5
ZCCHC11	Q5TAX3
ANKRD20A1	Q5TYW2
ANKRD20A1	A0A087X161
ANKRD20A1	A0A494C151
ANKRD20A1	A0A8V8TM75
DNAJC4	Q9NNZ3
DNAJC4	G3V1T1
DNAJC4	H0YGV0
DNAJC4	J3KNJ8
DNAJC4	Q6PIN0
DNAJC4	Q86VG4
DNAJC4	Q96FY5
KRT7	P08729
KRT7	Q3B834
KRT7	Q3KNV1
SLC28A3	Q9HAS3
CNOT4	O95628
CNOT4	A0A024R776
CNOT4	A0A024R781
CNOT4	A0A024R785
BARGIN	Q6ZT62
ADGB	Q8N7X0
ADGB	A0A7P0T963
ADGB	E5RFN4
ADGB	E5RG76
ADGB	E5RGD1
ADGB	E5RIM8
ADGB	F8W7W4
ADGB	H0Y334
ADGB	H0YBE5
ADGB	H0YC38
C2orf78	A6NCI8
EPRS	P07814
EPRS	Q3KQZ8
PCDHGA12	O60330
FAM208B	Q5VWN6
MAGEC2	Q9UBF1
AASS	Q9UDR5
AASS	A0A7P0T834
AASS	A0A7P0T8W7
AASS	A0A7P0T9N4
AASS	A0A7P0TA09
AASS	A0A7P0TA62
AASS	A0A7P0TAY5
AASS	A0A7P0TB07
AASS	A0A7P0TBD2
AASS	A0A7P0Z402
AASS	A0A7P0Z428
AASS	A0A7P0Z4M3
AASS	A4D0W4
AASS	F8WAH1
AASS	F8WE53
LRMP	Q12912
LRMP	A0A024RAY9
KRT1	P04264
KRT1	H6VRF8
KRT1	H6VRF9
KRT1	H6VRG0
KRT1	H6VRG1
KRT1	H6VRG2
KRT1	H6VRG3
C8orf37	Q96NL8
CASC4	Q6P4E1
CASC4	A0A024R5S2
CASC4	Q8N7K6
HBE1	P02100
HBE1	D9YZU7
OCM	P0CE72
ACAA1	P09110
ACAA1	A0A024R2M6
ACAA1	B4DVF4
ACAA1	C9JDE9
ACAA1	F2Z2Q6
ACAA1	F2Z3P7
ACAA1	H0Y4D4
ACAA1	H7C131
GRM2	Q14416
GRM2	C9JD41
GRM2	C9JL63
GRM2	H7BXL3
CXorf21	Q9HAI6
ABHD4	Q8TB40
ABHD4	F5GZC9
ABHD4	F5H067
ABHD4	F5H6T0
ABHD4	H0YFD5
ABHD4	J3KMW0
YARS	P54577
YARS	A0A0S2Z4P3
YARS	A0A0S2Z4R1
FRG1	Q14331
FRG1	E9PI42
FRG1	E9PLY7
FRG1	E9PRR7
FRG1	J3KSQ7
SERPINA13P	Q6UXR4
GBA3	Q9H227
GBA3	A8K9N1
FER1L4	A9Z1Z3
FER1L4	Q2NNQ8
KIAA0754	O94854
KIAA0754	Q9UPN3
BRDT	Q58F21
BRDT	A0A7P0T8B0
BRDT	A0A7P0TAQ7
BRDT	A0A7P0TAR6
BRDT	A0A7P0TB14
BRDT	C9J0Z0
BRDT	C9J1F7
BRDT	C9J3A0
BRDT	C9JD82
BRDT	C9JDL5
BRDT	C9JJU3
BRDT	C9JLZ2
BRDT	C9JMP1
BRDT	C9JQ27
BRDT	F8VZ63
BRDT	F8W0H2
ALDH6A1	Q02252
ALDH6A1	A0A024R6G4
ALDH6A1	G3V4Z4
COL4A3BP	Q9Y5P4
COL4A3BP	A0A024RAJ5
KRT4	P19013
KRT4	F8VX05
KRT4	F8VZR6
KRT4	Q6PIN2
PYCARD	Q9ULZ3
PYCARD	H3BP42
CITED1	Q99966
CITED1	A0A024R4H9
CITED1	C9J1P6
CITED1	C9J300
CITED1	C9J7P8
CITED1	C9JRD8
CITED1	H7C2S6
LINC01549	A6NIU2
TRAPPC5	Q8IUR0
TRAPPC5	M0QZQ8
ABTB1	Q969K4
ABTB1	F2Z3F5
ABTB1	H7C4W8
ABTB1	L8E906
DEFB130A	P0DP74
UCHL5	Q9Y5K5
UCHL5	H0Y4E0
UCHL5	H0Y4K0
UCHL5	H0Y636
UCHL5	H0Y6Y4
UCHL5	Q5LJA5
UCHL5	Q5LJA9
UCHL5	Q5LJB0
UCHL5	Q5LJB1
LPL	P06858
LPL	A0A1B1RVA9
LPL	A0A3B3IT60
LPL	A0A6B9JFD6
LPL	E5RHN7
LPL	E5RJI0
LPL	E5RJZ4
LPL	E7EW14
LPL	Q6IAV0
LPL	Q8NEW3
USH2A	O75445
MRVI1	Q9Y6F6
DNAH1	Q9P2D7
DNAH1	H7C506
DNAH1	H7C563
TXNL4A	P83876
TXNL4A	K7EJU2
TXNL4A	K7EMX5
TXNL4A	K7EPA6
TXNL4A	K7ES07
TXNL4A	K7ESL1
TXNL4A	O14835
AP5B1	Q2VPB7
COL11A1	P12107
COL11A1	A0A0U1RRA7
COL11A1	A0A2R8Y4I5
COL11A1	A0A2R8Y4M5
COL11A1	A0A2R8Y5N4
COL11A1	A0A2R8YDU3
COL11A1	C9JMN2
COL11A1	D3DT71
COL11A1	D3DT72
COL11A1	H7C381
COL11A1	Q4FAC4
COL11A1	Q5IKE6
COL11A1	Q5IKE9
COL11A1	Q5IKF0
COL11A1	Q5XNW0
COL11A1	Q5XNW2
TREX2	Q9BQ50
VCY	O14598
VCY	Q4KN35
ISG15	P05161
ISG15	A0A096LNZ9
ISG15	A0A096LPJ4
MGEA5	O60502
GPR98	Q8WXG9
GPR98	L8EBA1
FAM122B	Q7Z309
PKD1L1	Q8TDX9
PKD1L1	A0A3B3IRH7
PKD1L1	A0A8I5KS31
PKD1L1	A0A8I5KWV8
PKD1L1	A0A8I5QKU1
PKD1L1	H7C083
HIST1H1A	Q02539
SMN1	Q16637
SMN1	A0A0G2JQN8
SMN1	A0A0G2JRX5
SMN1	A0A0G2JRY6
SMN1	A0A3G6V326
SMN1	A0A3G6V344
SMN1	A0A3G6V3P1
SMN1	A0A3G6V4Y6
SMN1	A0A3G6V5W2
SMN1	A0A3G6V6Q6
SMN1	A0A3G6V713
SMN1	A0A411D760
SMN1	B4DP61
SMN1	E7EQZ4
SMN1	H0YBZ9
SMN1	I2E4S7
SMN1	I2E4S9
SMN1	I2E4T1
SMN1	I2E4T2
SMN1	I2E4T3
SMN1	I3QJX8
SMN1	I3QJX9
SMN1	I4BZJ7
SMN1	I6T6Y4
XKR6	Q5GH73
XKR6	H0YEU9
XKR6	H7BYF9
XKR6	Q96KT3
H1F0	P07305
TRIM58	Q8NG06
DPPA3	Q6W0C5
PCDHB13	Q9Y5F0
H2BFS	P57053
KIAA1211	Q6ZU35
KIAA1211	B2RWN6
KIAA1211	B7ZMH1
KIAA1211	B7ZVZ4
KIAA1211	L8EA76
FAM122A	Q96E09
TWISTNB	Q3B726
TWISTNB	L8E9H7
FSTL5	Q8N475
RIBC2	Q9H4K1
TCTEX1D2	Q8WW35
SRRM5	B3KS81
KIAA1551	Q9HCM1
FRMPD1	Q5SYB0
FRMPD1	F5H0G3
CTSG	P08311
KIAA0556	O60303
KIAA0556	L8ECF8
MRPS15	P82914
MRPS15	D3DPS9
HOMER2	Q9NSB8
HOMER2	H0YNR9
CD3EAP	O15446
CD3EAP	A0JLT1
CD3EAP	Q05BI1
C9orf43	Q8TAL5
C9orf43	A0A024R879
MANSC1	Q9H8J5
MANSC1	F5H3M3
MANSC1	F5H6G8
GPR65	Q8IYL9
GPR65	B5B0C2
PIGK	Q92643
PIGK	A6NEM5
PIGK	B1AK81
PIGK	S4R3M5
CCDC152	Q4G0S7
CCDC152	L0R835
HIST1H4A	P62805
KLRC4	O43908
MICALCL	O94851
ZNF699	Q32M78
KRT26	Q7Z3Y9
EFCAB5	A4FU69
EFCAB5	C9J1E6
EFCAB5	H0Y4M1
EFCAB5	H0Y843
EFCAB5	K7EJC3
FAM46C	Q5VWP2
ZP2	Q05996
OR2AT4	A6NND4
OR2AT4	A0A126GWB1
RASGEF1B	Q0VAM2
RASGEF1B	A0A0G2JLL4
